Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,BTN,Bhutan,0.122475871,0.125185072,0.131359587,0.133536564,0.13183437,0.126569875,0.127764126,0.130375413,0.133156413,0.133265447,0.130710637,0.190007507,0.184452587,0.182674419,0.174819577,0.180531206,0.176010628,0.26127296,0.262403806,0.259420682,0.340280498,0.347711048,0.351306827,0.362901566,0.454730918,0.603892686,0.656237788,0.74266592,0.797257167,0.901297916,0.7342555,0.766396679,0.804191002,0.806550102,0.799361501,0.839987032,0.832082008,0.830949788,0.872852377,1.178259053,1.271097624,1.521809762,1.430816153,1.444620957,1.44550505,1.64949899,1.764990797,1.866648969,2.084144776,2.2927317,2.125926187,2.340925764
CO2,BWA,Botswana,0.15041278,0.145829339,0.186815887,0.253142264,0.48429604,0.59326976,0.859745142,0.953099322,1.036823733,1.158795066,1.186591009,1.338270976,1.347683008,1.276130368,1.229990058,1.274500373,1.420395982,1.43027848,1.666120442,1.784227734,2.052175086,1.974289241,2.33718167,2.245332605,2.099954968,2.133650852,1.881980255,1.968006259,2.296704373,2.37696813,2.422091982,2.312207856,2.382317115,2.296850526,2.279416639,2.411105592,2.267112855,2.347219315,2.342105281,2.183612758,1.741391001,2.004624222,1.695954336,2.606675411,3.285026377,3.207561985,3.005728761,3.258318245,3.189176117,3.106981821,2.775609053,2.848901981
CO2,CAF,Central African Republic,0.053108615,0.052204741,0.050712849,0.051296648,0.053997858,0.055591683,0.052408596,0.05236197,0.051134545,0.055275068,0.056812938,0.065412859,0.064890642,0.068495022,0.061206898,0.060460363,0.075778707,0.086434058,0.078006753,0.071916912,0.067484694,0.082499422,0.06752442,0.07139893,0.072956621,0.073130843,0.076894769,0.077030804,0.076753428,0.077076105,0.079831291,0.080744566,0.079116021,0.07326083,0.071107122,0.069074117,0.071101771,0.069654661,0.05186421,0.049544905,0.050406188,0.050367523,0.050613743,0.034649078,0.03708317,0.051444167,0.053684265,0.056857512,0.057407712,0.058332458,0.052498198,0.054931304
CO2,CAN,Canada,16.80946837,16.87081832,17.44014091,18.02133195,18.11937475,17.4171919,17.74397351,18.12693535,18.01984772,18.46572939,18.45781089,17.4752469,16.51143488,16.17193862,16.75658236,16.56894404,15.97337557,16.2117588,17.15340363,17.49737651,16.00623942,15.58665651,15.84348448,15.61851397,16.0468878,16.31161309,16.60969253,16.9895329,17.08013771,17.23876618,17.73264811,17.28286808,17.73228169,18.17885685,17.77059083,17.90132142,17.47398483,18.25125875,17.41884608,16.2335288,16.52280216,16.71192679,16.4708684,16.56189781,16.57142186,16.31875623,16.13453697,16.27827195,16.46524803,16.32222851,14.58532195,14.8596767
CO2,CHE,Switzerland and Liechtenstein,6.758550213,7.008670165,7.07878454,7.577524375,6.784711557,6.37164905,6.644026261,6.731345245,6.936161776,6.744749951,6.868783386,6.481007743,6.107153717,6.715722965,6.596688991,7.052988953,6.998815809,6.718661338,6.686199664,6.612181323,6.736008657,7.014298516,6.928985449,6.514356044,6.313961965,6.376199394,6.414954701,6.206711757,6.39188764,6.408038964,6.268730442,6.43700354,6.174897251,6.312808914,6.338373779,6.367688388,6.248725428,5.92559444,6.039269793,5.789211124,5.934813595,5.347129426,5.442116509,5.500229409,5.011446172,4.851104123,4.868578811,4.711159173,4.52929711,4.481292448,3.94749628,4.017016723
CO2,CHL,Chile,2.916474492,3.113637935,3.178469275,3.124176554,2.883691082,2.586094821,2.605271069,2.400061289,2.408374728,2.515241636,2.458953463,2.220821843,1.858395286,1.867005833,1.94392478,1.846013566,1.838109193,1.824736954,2.166197351,2.570453002,2.493317338,2.33857128,2.389170324,2.489150471,2.676715224,2.889019161,3.27389001,3.676511815,3.659956742,3.785347726,3.500494424,3.325162461,3.317348436,3.404207376,3.636515032,3.646556627,3.677613045,4.090851938,4.261953524,4.037348875,4.240770127,4.585728252,4.670787675,4.866741438,4.455003443,4.732707617,4.945337708,4.948294496,4.894184163,5.126876129,4.519934235,4.606465291
CO2,CHN,China,1.102795624,1.080377093,1.125925064,1.147135604,1.143469044,1.286376117,1.314848389,1.455271371,1.617803181,1.634392335,1.577746002,1.542116228,1.590181852,1.650382443,1.772968128,1.758100544,1.834625201,1.926354154,2.033184526,2.066376074,2.068867348,2.154262594,2.238714567,2.399070966,2.523034771,2.75454644,2.709925632,2.75238796,2.799069915,2.727292848,2.886019497,3.004256646,3.221174072,3.714891808,4.261738628,4.79596139,5.296671098,5.740335485,5.868100016,6.279230015,6.835295203,7.426420252,7.624037764,7.79625716,7.839965286,7.710512596,7.690977014,7.830136958,8.126444468,8.289125655,8.387304165,8.726979711
CO2,CIV,Côte dIvoire,0.503387866,0.49112502,0.521244067,0.511510699,0.501335639,0.519296073,0.566184379,0.536566667,0.592856567,0.529187602,0.482057952,0.423075236,0.385793411,0.434878407,0.372843098,0.329025475,0.330698304,0.311258064,0.303617069,0.281700991,0.246990064,0.24582535,0.236593203,0.242398276,0.244962647,0.25925537,0.313556542,0.369846185,0.348815487,0.452830328,0.422850316,0.415645551,0.431485189,0.335925735,0.340619497,0.357253741,0.34377465,0.337343963,0.367980106,0.333839331,0.369551114,0.35355443,0.438422365,0.458610786,0.48096431,0.502068122,0.497154134,0.523953435,0.505463654,0.52603264,0.521299892,0.542117615
CO2,CMR,Cameroon,0.137891872,0.141582279,0.142948262,0.146331538,0.139007169,0.170658626,0.154803745,0.20907122,0.219974194,0.232303655,0.24062842,0.249464375,0.256559606,0.497816781,0.505081601,0.480801499,0.563285359,0.497000655,0.305410754,0.423515911,0.410663111,0.380363409,0.355597361,0.377479504,0.397042943,0.387186736,0.386941695,0.37997064,0.38565295,0.362260618,0.378966764,0.367538919,0.353124648,0.350854431,0.335860048,0.318071762,0.312408043,0.35813614,0.367317153,0.388219022,0.385086487,0.356939569,0.35277764,0.3802338,0.402243431,0.405436635,0.420521464,0.416575381,0.425860612,0.412656482,0.377774521,0.383373202
CO2,COD,Democratic Republic of the Congo,0.148166746,0.145717782,0.145933284,0.143028632,0.146234685,0.139946521,0.133530121,0.134405259,0.131586371,0.141411527,0.136296777,0.141927772,0.111781944,0.142139706,0.135522738,0.123575044,0.112830083,0.120507022,0.121553104,0.112196605,0.099438222,0.054850582,0.045673078,0.04251121,0.063720279,0.057712613,0.061876933,0.060566228,0.059000212,0.053361781,0.041833242,0.03965946,0.040381578,0.04707959,0.043706721,0.047292368,0.047059956,0.050146493,0.049782169,0.046797196,0.047297999,0.052042026,0.045173175,0.060170645,0.074333746,0.046849947,0.035327397,0.039462467,0.037269639,0.038829001,0.036009862,0.036491709
